Reservoir	Season	Assigned_Reads	Pipeline
Klíčava	Summer	1027223	Anacapa
Klíčava	Autumn	152115	Anacapa
Římov	Summer	3207005	Anacapa
Římov	Autumn	1748946	Anacapa
Žlutice	Summer	1171369	Anacapa
Žlutice	Autumn	509967	Anacapa
Klíčava	Summer	1125257	Barque
Klíčava	Autumn	139839	Barque
Římov	Summer	3610686	Barque
Římov	Autumn	1826975	Barque
Žlutice	Summer	1171767	Barque
Žlutice	Autumn	535515	Barque
Klíčava	Summer	1060167	MetaBEAT
Klíčava	Autumn	129156	MetaBEAT
Římov	Summer	3417605	MetaBEAT
Římov	Autumn	1697086	MetaBEAT
Žlutice	Summer	1102758	MetaBEAT
Žlutice	Autumn	452972	MetaBEAT
Klíčava	Summer	916496	MiFish
Klíčava	Autumn	113122	MiFish
Římov	Summer	2927711	MiFish
Římov	Autumn	1490978	MiFish
Žlutice	Summer	939469	MiFish
Žlutice	Autumn	432617	MiFish
Klíčava	Summer	1230336	SEQme
Klíčava	Autumn	135439	SEQme
Římov	Summer	3316388	SEQme
Římov	Autumn	1729903	SEQme
Žlutice	Summer	1228640	SEQme
Žlutice	Autumn	559636	SEQme
