"TAX","Klíčava Autumn Anacapa","Klíčava Autumn Barque","Klíčava Autumn MetaBEAT","Klíčava Autumn MiFish","Klíčava Autumn SEQme","Klíčava Summer Anacapa","Klíčava Summer Barque","Klíčava Summer MetaBEAT","Klíčava Summer MiFish","Klíčava Summer SEQme","Římov Autumn Anacapa","Římov Autumn Barque","Římov Autumn MetaBEAT","Římov Autumn MiFish","Římov Autumn SEQme","Římov Summer Anacapa","Římov Summer Barque","Římov Summer MetaBEAT","Římov Summer MiFish","Římov Summer SEQme","Žlutice Autumn Anacapa","Žlutice Autumn Barque","Žlutice Autumn MetaBEAT","Žlutice Autumn MiFish","Žlutice Autumn SEQme","Žlutice Summer Anacapa","Žlutice Summer Barque","Žlutice Summer MetaBEAT","Žlutice Summer MiFish","Žlutice Summer SEQme"
"Acipenser-sp ",0,0,0,0,0,0,0,0,0,0,471,486,495,474,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anguilla anguilla",1655,0,0,0,1977,1497,366,358,349,1503,0,0,0,0,0,31,29,32,33,36,0,0,0,0,0,0,0,0,0,0
"Abramis brama",18224,20662,20754,20622,3859,15002,15675,15878,16100,11017,24692,24781,25126,24958,14117,23121,23168,23381,23026,7706,5172,5002,5472,5030,3302,1374,1410,1382,1451,420
"Alburnus alburnus",0,0,0,0,0,0,0,0,0,0,6267,6374,6425,6423,702,13182,13313,13202,13282,0,515,502,555,514,0,25,27,30,27,0
"Barbus barbus",521,577,582,597,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blicca+Vimba",394,444,437,446,456,0,0,0,0,0,316,326,322,324,160,258,259,255,269,319,183,172,193,176,0,0,0,0,0,0
"Carassius auratus",0,0,0,0,0,0,0,0,0,0,152,161,157,162,172,15,15,16,0,18,850,827,928,880,818,0,0,0,0,0
"Carassius carassius",0,0,0,0,0,0,0,0,0,0,122,123,129,127,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chondrostoma nasus",0,0,0,0,0,0,0,0,0,0,414,422,425,419,678,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0
"Ctenopharyngodon idella",0,0,0,0,0,0,0,0,0,0,857,875,864,894,413,30,31,30,31,35,228,218,241,228,212,381,384,378,389,0
"Cyprinus carpio",4818,5394,5733,5537,5796,115,123,117,120,114,8727,8682,8847,8993,9816,756,741,748,771,858,13318,12677,13990,12715,12565,2293,2327,2324,2364,2278
"Gobio gobio",217,236,236,234,333,1724,1815,1774,1714,0,510,523,557,549,317,140,131,133,144,149,1083,1041,1138,1056,627,0,0,0,0,0
"Hypophthalmichthys molitrix",0,1665,1630,1608,0,0,255,246,248,0,0,626,608,612,0,0,256,245,257,0,0,0,0,0,0,0,0,0,0,0
"Hypophthalmichthys nobilis",1024,1162,1168,1106,1190,0,0,0,0,0,179,190,185,184,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspius+Scardinius",9081,7285,7247,7121,11107,21119,17522,17577,17063,14505,6985,7157,7405,7054,8428,4683,4652,4658,4689,2054,6677,4783,5282,4718,4762,7830,6635,6539,6685,2295
"L idus+leuciscus",0,0,0,0,0,0,0,0,0,0,1581,1668,1645,1637,1084,1844,1853,1828,1854,1216,3561,3165,3442,3112,2480,10238,10241,10262,10050,9178
"Phoxinus phoxinus",0,0,0,0,0,0,0,0,0,0,937,945,911,889,1047,103,106,100,100,117,6706,6040,6603,5936,6302,0,0,0,0,0
"Pseudorasbora parva",975,1088,1142,1106,1176,0,0,0,0,0,1116,1107,1130,1135,1263,0,0,0,0,0,167,164,169,145,148,0,0,0,0,0
"Rhodeus amarus",1347,1558,1538,1517,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rutilus rutilus",9345,10554,10405,10184,11098,31243,33001,32972,32637,40310,21978,21841,22477,21333,30949,33120,32764,33138,32506,55054,38346,36724,40269,36636,39783,40744,41234,41417,40642,47289
"Squalius cephalus",0,1372,0,1340,1368,0,357,0,350,0,0,1653,0,1634,1993,0,290,0,300,478,0,10211,0,10159,9465,0,154,0,166,174
