""	Reservoir	Season	Pipeline	Abramis brama	Acipenser-sp.	Alburnus alburnus	Anguilla anguilla	Aspius+Scardinius	Barbatula barbatula	Barbus barbus	Blicca+Vimba	Carassius auratus	Carassius carassius	Chondrostoma nasus	Coregonus-sp.	Cottus gobio	Cottus poecilopus	Ctenopharyngodon idella	Cyprinus carpio	Esox lucius	Gasterosteus aculeatus	Gobio gobio	Gymnocephalus cernua	Hypophthalmichthys molitrix	Hypophthalmichthys nobilis	L.idus+leuciscus	Lampetra planeri	Lepomis gibbosus	Oncorhynchus mykiss	Phoxinus phoxinus	Pseudorasbora parva	Rhodeus amarus	Rutilus rutilus	Salmo trutta	Salvelinus fontinalis	Sander+Perca	Silurus glanis	Squalius cephalus	Thymallus thymallus	Tinca tinca
Klíčava Autumn Anacapa	Klíčava	Autumn	Anacapa	26899	0	0	2429	0	0	760	584	0	0	0	0	0	14748	0	7107	9687	0	318	0	0	1512	0	0	0	0	0	1420	2001	13811	684	0	65328	0	0	0	4827
Klíčava Autumn Barque	Klíčava	Autumn	Barque	25583	0	0	0	8986	0	708	543	0	0	0	0	0	0	0	6681	9116	0	294	0	2043	1424	0	0	0	0	0	1352	1914	13023	638	0	61278	0	1687	0	4569
Klíčava Autumn MetaBEAT	Klíčava	Autumn	MetaBEAT	23699	0	0	0	8293	0	671	491	0	0	0	0	0	0	0	6554	8571	0	266	0	1856	1316	0	0	0	0	0	1316	1764	11877	592	0	57757	0	0	0	4133
Klíčava Autumn MiFish	Klíčava	Autumn	MiFish	20614	0	0	0	7115	0	593	445	0	0	0	0	0	0	0	5496	7336	0	232	0	1602	1117	0	0	0	0	0	1099	1521	10180	526	0	50343	0	1349	0	3554
Klíčava Autumn SEQme	Klíčava	Autumn	SEQme	4645	0	0	2376	13252	0	752	560	0	0	0	0	0	0	0	6951	9435	0	398	8920	0	1440	0	0	0	0	0	1412	1942	13329	653	0	63414	0	1613	0	4347
Klíčava Summer Anacapa	Klíčava	Summer	Anacapa	167352	0	0	16624	0	0	0	0	0	0	0	0	0	0	0	1292	53918	9315	19493	0	0	0	0	0	0	0	0	0	0	349597	0	0	364930	27567	0	0	17135
Klíčava Summer Barque	Klíčava	Summer	Barque	155780	0	0	3667	173790	0	0	0	0	0	0	0	0	0	0	1209	50886	0	18184	0	2558	0	0	0	0	0	0	0	0	328640	0	0	344932	26053	3622	0	15936
Klíčava Summer MetaBEAT	Klíčava	Summer	MetaBEAT	148719	0	0	3407	164783	0	0	0	0	0	0	0	0	0	0	1121	48805	0	16645	0	2317	0	0	0	0	0	0	0	0	308758	0	0	325905	24424	0	0	15283
Klíčava Summer MiFish	Klíčava	Summer	MiFish	130499	0	0	2785	138430	0	0	0	0	0	0	0	0	0	0	995	41451	0	13996	0	2051	0	0	0	0	0	0	0	0	264146	0	0	285526	20646	2833	0	13138
Klíčava Summer SEQme	Klíčava	Summer	SEQme	119435	0	0	16221	157864	0	0	0	0	0	0	0	0	0	0	1253	52308	0	0	61033	0	0	0	0	0	0	0	0	0	438152	0	0	353980	26531	0	0	3559
Římov Autumn Anacapa	Římov	Autumn	Anacapa	433051	8286	0	0	0	1404	0	5586	2723	2164	7231	20430	19325	0	15065	152960	17226	37599	9081	0	0	3179	28182	248	0	103928	16330	19824	0	383643	36058	64193	321851	4815	0	29978	4586
Římov Autumn Barque	Římov	Autumn	Barque	401116	7773	102323	0	115296	1161	0	5281	2574	2019	6792	16739	16793	0	14206	140373	16255	0	8449	0	9987	2966	26773	0	0	96740	15091	17991	0	352930	33048	53059	297804	4548	26473	28096	4319
