Reservoir	Season	N_Species	Pipeline
Klíčava	Summer	10	Anacapa
Klíčava	Autumn	15	Anacapa
Římov	Summer	18	Anacapa
Římov	Autumn	27	Anacapa
Žlutice	Summer	11	Anacapa
Žlutice	Autumn	19	Anacapa
Klíčava	Summer	12	Barque
Klíčava	Autumn	16	Barque
Římov	Summer	22	Barque
Římov	Autumn	29	Barque
Žlutice	Summer	12	Barque
Žlutice	Autumn	20	Barque
Klíčava	Summer	11	MetaBEAT
Klíčava	Autumn	15	MetaBEAT
Římov	Summer	21	MetaBEAT
Římov	Autumn	28	MetaBEAT
Žlutice	Summer	11	MetaBEAT
Žlutice	Autumn	19	MetaBEAT
Klíčava	Summer	12	MiFish
Klíčava	Autumn	16	MiFish
Římov	Summer	21	MiFish
Římov	Autumn	29	MiFish
Žlutice	Summer	12	MiFish
Žlutice	Autumn	20	MiFish
Klíčava	Summer	10	SEQme
Klíčava	Autumn	17	SEQme
Římov	Summer	19	SEQme
Římov	Autumn	29	SEQme
Žlutice	Summer	11	SEQme
Žlutice	Autumn	18	SEQme
